Estado,Sigla,Ano,N_CASOS,Óbitos
Pará,PA,2020,0,0
Distrito Federal,DF,2020,0,0
Tocantins,TO,2020,0,0
Maranhão,MA,2020,0,0
Mato Grosso,MT,2020,0,0
Paraíba,PB,2020,0,0
Amazonas,AM,2020,0,0
Amapá,AP,2020,0,0
Rio Grande do Norte,RN,2020,0,0
Pernambuco,PE,2020,0,0
Acre,AC,2020,0,0
Roraima,RR,2020,0,0
Piauí,PI,2020,0,0
Alagoas,AL,2020,0,0
Sergipe,SE,2020,0,0
